month,day,au_price,ag_price,tvl,twatvl,ag_circulating,ag_minted_total,treasury_reserves,total_fees,total_burned,total_buybacks,staking_mult,staked_value,daily_volume,pid_integral,ag_emitted_today
13,390,0.005355977529838531,0.03930330073248344,232700.501866863,263772.8060146608,39100000.0,39100000.0,4301.7485391855735,9777.797155097798,9777.797155097798,12476.048615912232,2.5,30192.205561038172,53539.55484867351,1810266602.6753933,100000.0
14,420,0.005377654556603642,0.03485693050938975,182541.3397510222,248149.7444244159,42100000.0,42100000.0,4093.5113381721562,10235.945520763575,10235.945520763575,13142.43418259142,2.5,31731.186615955146,38307.71947707597,1952563995.3582914,100000.0
15,450,0.005352222003236844,0.03321961025752109,174241.2451541081,230971.48557067837,45100000.0,45100000.0,3942.2615526553045,10726.45924381852,10726.45924381852,13784.197691163214,2.5,33102.580648047646,39906.87964584112,2095377771.603401,100000.0
16,480,0.004553400844840041,0.04029152612091881,192375.99545719996,220302.82291178516,48100000.0,48100000.0,3712.9043277672176,11101.528304846022,11101.528304846022,14388.623977078807,2.5,34519.29703744063,6919.39735803472,2238654708.4425993,100000.0
17,510,0.004124622387996432,0.03399582027710316,153249.79081293213,209199.08074525872,51100000.0,51100000.0,3497.145222666979,11455.071910412498,11455.071910412498,14957.926687745525,2.5,35856.779911799684,31011.564816018315,2382205506.470677,100000.0
18,540,0.004716081376085446,0.033068194209150956,143137.41331799416,198737.01266407114,54100000.0,54100000.0,3318.5743587798397,11816.734081675566,11816.734081675566,15498.15972289573,2.5,37133.588845159975,41562.5943653356,2526062525.9971986,100000.0
19,570,0.005569857796500378,0.03881358805568426,163937.5593141976,185495.13831723286,57100000.0,57100000.0,3174.157107748522,12189.040080742845,12189.040080742845,16014.882972994328,2.5,38242.23743337112,11278.80400098337,2670316986.084015,100000.0
20,600,0.004449785128941837,0.01675399918701813,118891.21504612446,171998.32485998352,60100000.0,60100000.0,3062.4620284516377,12575.88533165902,12575.88533165902,16513.423303207386,2.5,39250.00761436115,7843.849694507485,2814949720.8277874,100000.0
21,630,0.0044833591267629275,0.026561874111664958,164881.04987602192,165884.4965915506,63100000.0,63100000.0,2913.5422731473896,12901.263155704344,12901.263155704344,16987.72088255696,2.5,40353.68486291786,26047.23476819458,2959929742.8349843,100000.0
22,660,0.00363621354658066,0.03633692192138972,229445.66640132054,172348.65573347826,66100000.0,66100000.0,2776.3759648219916,13216.065027698802,13216.065027698802,17439.68906287682,2.5,41774.12977193645,24206.468185196212,3104887914.953961,100000.0
23,690,0.0036227404707302154,0.03309292762343381,225196.9177930669,186464.12405881975,69100000.0,69100000.0,2612.9688527843787,13478.024938207482,13478.024938207482,17865.056085423115,2.5,43470.97814697479,36127.83852718572,3249497952.8180156,100000.0
24,720,0.0043658434439556625,0.02658110577700823,209923.3802565826,192047.4644739211,72100000.0,72100000.0,2467.865397405258,13734.66701263852,13734.66701263852,18266.801615233275,2.5,45031.229547047486,34956.30803521366,3393809697.9188204,100000.0
25,750,0.005472135427138666,0.018728891330540415,231719.9032127368,202821.56974384,75100000.0,75100000.0,2497.810617040518,14171.232565280374,14171.232565280374,18673.42194823987,2.5,46778.04678031548,9102.197647926536,3537889065.40747,100000.0
26,780,0.004893129434038174,0.018633396442346906,179182.1996221557,202773.9233748865,78100000.0,78100000.0,2497.2711894956587,14577.225656955736,14577.225656955736,19079.95446746009,2.5,48308.623297404985,20036.330558586436,3681762042.348585,100000.0
27,810,0.006041905631175021,0.012066080735254555,155080.4899092523,195921.41874713544,81100000.0,81100000.0,2507.7917205017698,14995.991351764458,14995.991351764458,19488.199631262705,2.5,49641.39737489449,54963.95224054936,3825752548.080481,100000.0
28,840,0.006390474772847223,0.013805470201175021,160749.89125918533,183624.76512575374,84100000.0,84100000.0,2553.821696797139,15457.759743817502,15457.759743817502,19903.93804702038,2.5,50755.90404801483,43805.5467807895,3970077152.679482,100000.0
29,870,0.00655166649770597,0.018934382002305548,199062.04889749704,183486.44943451625,87100000.0,87100000.0,2621.048502180259,15951.668863509038,15951.668863509038,20330.620361328794,2.5,52125.931529916634,21208.870495782132,4114583349.4984426,100000.0
30,900,0.006770525494473965,0.020002103564396648,196393.5233261525,187631.18065506834,90100000.0,90100000.0,2740.157511454733,16516.85002581102,16516.85002581102,20776.69251435631,2.5,53622.90216003944,27810.713196961173,4259005795.3687844,100000.0
31,930,0.006109484338825602,0.01777977087306996,140328.00502229168,178380.79951997186,93100000.0,93100000.0,2760.3045514606315,16986.348969543065,16986.348969543065,21226.04441808246,2.5,54772.46180872365,35814.36354668295,4403491769.0416765,100000.0
32,960,0.004979653022863382,0.02072496510987131,155473.01223003014,169911.16348265298,96100000.0,96100000.0,2792.8982772068575,17473.600554369477,17473.600554369477,21680.702277162647,2.5,55866.05031204437,5196.1554719646565,4548278921.0607,99999.99999999999
33,990,0.005346164482497498,0.01657041209524748,153589.7866593884,165211.0245609725,99100000.0,99100000.0,2704.2273267225924,17825.15265707261,17825.15265707261,22120.925330350045,2.5,57008.03724689236,34184.25810044885,4693245659.568063,100000.0
34,1020,0.004402147931745098,0.01997358096541917,175510.37008226512,166600.54122287763,100000000.0,100000000.0,2628.710185242927,18177.565080632477,18177.565080632477,22548.85489538959,2.5,58285.75368955858,32595.178335810935,4838272355.946928,0
35,1050,0.004872991363691459,0.016226344480043713,150272.11043738498,164434.55092085118,100000000.0,100000000.0,2579.1364569797015,18547.8507755985,18547.8507755985,22968.714318618844,2.5,59474.431906762315,47699.180542330214,4983303210.038211,0
